,User ID,Date,Date Week,Year Week,Month,Day,Hour,Question ID,Bundle ID,Q Cat.,User answer,Correct answer,Result,Answer duration,Class
1138061,U1390,2019-07-03,2019-07 W26,2019 W26,7,3,14,9746,b7097,5,1,4,Incorrect,0.6833333333333333,Class #2
3893746,U6820,2019-08-08,2019-08 W31,2019 W31,8,8,13,5050,b3582,5,4,4,Correct,0.7333333333333333,Class #6
11495094,U577821,2019-05-20,2019-05 W20,2019 W20,5,20,21,6568,b5088,6,3,2,Incorrect,0.8625,Class #17
11550687,U590164,2019-05-22,2019-05 W20,2019 W20,5,22,17,2687,b1829,4,4,4,Correct,0.4222166666666667,Class #17
2767939,U4042,2019-11-20,2019-11 W46,2019 W46,11,20,7,17951,b12014,2,3,3,Correct,0.5166666666666667,Class #5
12436234,U747436,2019-10-24,2019-10 W42,2019 W42,10,24,5,7601,b5389,7,2,2,Correct,1.9208333333333327,Class #19
11224680,U549582,2019-05-30,2019-05 W21,2019 W21,5,30,6,9819,b7170,5,4,4,Correct,0.3833333333333333,Class #17
6305502,U13404,2019-10-31,2019-10 W43,2019 W43,10,31,9,9001,b6352,5,1,1,Correct,0.0666666666666666,Class #10
12637692,U758192,2019-10-21,2019-10 W42,2019 W42,10,21,12,3225,b2009,4,4,1,Incorrect,0.3222166666666666,Class #19
4917014,U8835,2019-09-30,2019-09 W39,2019 W39,9,30,16,2806,b1869,4,1,2,Incorrect,0.0166666666666666,Class #8
3516438,U5700,2019-08-08,2019-08 W31,2019 W31,8,8,11,6694,b5120,6,4,4,Correct,0.7375,Class #6
1270022,U1529,2019-10-26,2019-10 W42,2019 W42,10,26,20,17587,b11730,5,4,4,Correct,0.35,Class #2
4430931,U7605,2019-08-11,2019-08 W31,2019 W31,8,11,23,967,b967,2,2,2,Correct,0.2666666666666666,Class #7
6819434,U17015,2019-09-29,2019-09 W38,2019 W38,9,29,5,7248,b5299,7,4,1,Incorrect,2.513333333333333,Class #11
11592068,U595656,2019-07-27,2019-07 W29,2019 W29,7,27,4,2906,b1902,4,4,4,Correct,0.3944333333333333,Class #17
2144225,U2998,2019-10-31,2019-10 W43,2019 W43,10,31,1,2801,b1867,4,3,3,Correct,0.4111,Class #4
11460962,U574776,2019-10-21,2019-10 W42,2019 W42,10,21,9,241,b241,2,2,2,Correct,0.3,Class #17
2474793,U3511,2019-08-29,2019-08 W34,2019 W34,8,29,1,6992,b5224,6,3,2,Incorrect,0.5875,Class #4
7980465,U282921,2019-11-14,2019-11 W45,2019 W45,11,14,1,17196,b11433,5,4,1,Incorrect,0.25,Class #12
10298883,U467572,2019-02-01,2019-02 W04,2019 W04,2,1,10,5663,b4195,5,1,1,Correct,0.4333333333333333,Class #15
9997056,U432163,2019-02-02,2019-02 W04,2019 W04,2,2,4,6876,b5195,6,4,1,Incorrect,0.6416666666666667,Class #15
3058563,U4668,2019-09-05,2019-09 W35,2019 W35,9,5,5,442,b442,2,3,3,Correct,0.2833333333333333,Class #5
1598845,U2003,2019-10-06,2019-10 W39,2019 W39,10,6,10,7889,b5474,7,4,4,Correct,0.8766666666666667,Class #3
5094883,U9389,2019-02-13,2019-02 W06,2019 W06,2,13,8,6534,b5066,5,2,1,Incorrect,0.45,Class #8
8846168,U353324,2018-12-10,2018-12 W50,2018 W50,12,10,13,447,b447,2,3,1,Incorrect,0.35,Class #13
11214632,U547840,2019-04-05,2019-04 W13,2019 W13,4,5,16,4289,b2821,5,4,3,Incorrect,0.4666666666666667,Class #17
9590997,U398761,2019-02-11,2019-02 W06,2019 W06,2,11,2,508,b508,2,3,3,Correct,0.25,Class #14
3763863,U6447,2019-09-11,2019-09 W36,2019 W36,9,11,12,6977,b5221,6,2,2,Correct,0.4791666666666667,Class #6
5368729,U10147,2019-03-22,2019-03 W11,2019 W11,3,22,6,4327,b2859,5,3,3,Correct,0.4166666666666667,Class #8
946915,U1247,2019-06-12,2019-06 W23,2019 W23,6,12,17,17306,b11543,5,2,2,Correct,0.15,Class #2
5192359,U9687,2019-10-26,2019-10 W42,2019 W42,10,26,13,6905,b5203,6,2,2,Correct,0.6458333333333334,Class #8
10706565,U504392,2019-04-08,2019-04 W14,2019 W14,4,8,5,9164,b6515,5,2,2,Correct,0.6833333333333333,Class #16
10555402,U491979,2019-04-22,2019-04 W16,2019 W16,4,22,8,873,b873,2,3,1,Incorrect,0.3,Class #16
9908656,U422614,2019-02-09,2019-02 W05,2019 W05,2,9,2,1599,b1467,3,2,1,Incorrect,0.4444333333333333,Class #15
2014509,U2782,2019-11-23,2019-11 W46,2019 W46,11,23,21,4217,b2749,5,2,2,Correct,0.2,Class #3
12477749,U749058,2019-11-03,2019-11 W43,2019 W43,11,3,5,9539,b6890,5,2,4,Incorrect,0.45,Class #19
12263983,U689695,2019-10-21,2019-10 W42,2019 W42,10,21,20,8487,b5838,5,1,4,Incorrect,0.35,Class #18
1345813,U1599,2019-07-14,2019-07 W27,2019 W27,7,14,11,3107,b1969,4,1,1,Correct,0.0611,Class #2
7467693,U257736,2019-03-21,2019-03 W11,2019 W11,3,21,23,730,b730,2,1,1,Correct,0.2833333333333333,Class #11
7814118,U274884,2018-11-04,2018-11 W44,2018 W44,11,4,8,11115,b8168,1,4,1,Incorrect,0.3833333333333333,Class #12
1555600,U1907,2019-07-28,2019-07 W29,2019 W29,7,28,6,7299,b5312,7,2,4,Incorrect,0.5777666666666667,Class #3
10123395,U446650,2019-02-07,2019-02 W05,2019 W05,2,7,16,6832,b5184,6,1,1,Correct,0.4416666666666666,Class #15
290164,U361,2019-06-04,2019-06 W22,2019 W22,6,4,5,10846,b7975,6,2,2,Correct,0.4458333333333333,Class #1
7951727,U282130,2018-12-26,2018-12 W52,2018 W52,12,26,22,4047,b2579,5,1,1,Correct,1.0333333333333334,Class #12
6644586,U15559,2019-11-21,2019-11 W46,2019 W46,11,21,12,1575,b1459,3,3,3,Correct,0.0111,Class #10
4274191,U7456,2019-08-31,2019-08 W34,2019 W34,8,31,11,8698,b6049,5,1,1,Correct,0.4333333333333333,Class #7
6040055,U12202,2019-08-20,2019-08 W33,2019 W33,8,20,4,11263,b8316,2,2,2,Correct,0.2833333333333333,Class #9
2651058,U3858,2019-09-18,2019-09 W37,2019 W37,9,18,4,8396,b5747,5,4,4,Correct,1.05,Class #4
8371441,U317841,2019-02-23,2019-02 W07,2019 W07,2,23,16,335,b335,2,2,3,Incorrect,0.3,Class #13
10177447,U452159,2019-02-09,2019-02 W05,2019 W05,2,9,6,2287,b1696,3,3,3,Correct,0.0277666666666666,Class #15
13187587,U793502,2019-11-09,2019-11 W44,2019 W44,11,9,8,11952,b8571,6,3,2,Incorrect,0.4666666666666667,Class #20
1409176,U1683,2019-04-21,2019-04 W15,2019 W15,4,21,9,6930,b5209,6,3,3,Correct,0.9666666666666668,Class #3
995819,U1273,2019-07-19,2019-07 W28,2019 W28,7,19,8,1146,b1146,2,3,3,Correct,0.2666666666666666,Class #2
11272499,U557151,2019-06-03,2019-06 W22,2019 W22,6,3,5,511,b511,2,1,1,Correct,0.2833333333333333,Class #17
3057623,U4664,2019-08-04,2019-08 W30,2019 W30,8,4,13,4,b4,1,2,2,Correct,0.35,Class #5
5699750,U11072,2018-12-25,2018-12 W52,2018 W52,12,25,14,5694,b4226,5,2,1,Incorrect,0.7333333333333333,Class #9
7499049,U259675,2019-01-15,2019-01 W02,2019 W02,1,15,15,6709,b5124,6,4,4,Correct,0.5625,Class #11
4638692,U7971,2019-06-02,2019-06 W21,2019 W21,6,2,7,6847,b5188,6,3,4,Incorrect,0.5333333333333333,Class #7
11340010,U565271,2019-05-03,2019-05 W17,2019 W17,5,3,18,2507,b1769,3,1,1,Correct,0.4166666666666667,Class #17
452277,U562,2019-08-01,2019-08 W30,2019 W30,8,1,6,4568,b3100,5,3,3,Correct,0.3166666666666666,Class #1
10706144,U504392,2019-04-22,2019-04 W16,2019 W16,4,22,6,2454,b1752,3,4,1,Incorrect,0.0277666666666666,Class #16
9709180,U410166,2019-05-20,2019-05 W20,2019 W20,5,20,10,3630,b2162,5,3,3,Correct,0.5,Class #15
4115420,U7313,2019-05-25,2019-05 W20,2019 W20,5,25,9,5277,b3809,5,3,1,Incorrect,0.6833333333333333,Class #7
7007665,U18640,2019-04-30,2019-04 W17,2019 W17,4,30,3,4108,b2640,5,3,3,Correct,0.3,Class #11
1100724,U1363,2019-10-20,2019-10 W41,2019 W41,10,20,11,11013,b8066,1,4,4,Correct,0.3833333333333333,Class #2
5729649,U11198,2019-08-30,2019-08 W34,2019 W34,8,30,7,3824,b2356,5,3,3,Correct,0.5,Class #9
5977139,U12017,2019-05-26,2019-05 W20,2019 W20,5,26,4,2286,b1696,3,4,4,Correct,0.4444333333333333,Class #9
7299064,U251076,2018-11-08,2018-11 W45,2018 W45,11,8,7,6790,b5174,6,3,3,Correct,0.0958333333333333,Class #11
6014161,U12144,2019-08-24,2019-08 W33,2019 W33,8,24,11,11665,b8499,6,2,2,Correct,0.6083333333333333,Class #9
8099736,U291000,2019-08-10,2019-08 W31,2019 W31,8,10,8,1038,b1038,2,1,1,Correct,0.25,Class #12
4013930,U6998,2019-10-29,2019-10 W43,2019 W43,10,29,22,8720,b6071,5,3,3,Correct,0.7,Class #6
2805316,U4111,2019-08-01,2019-08 W30,2019 W30,8,1,3,1513,b1438,3,2,2,Correct,0.5611166666666667,Class #5
8694137,U341892,2019-01-24,2019-01 W03,2019 W03,1,24,2,9900,b7251,5,1,3,Incorrect,0.8333333333333334,Class #13
6222777,U13070,2019-09-01,2019-09 W34,2019 W34,9,1,9,541,b541,2,2,2,Correct,0.2833333333333333,Class #10
12486102,U749419,2019-11-23,2019-11 W46,2019 W46,11,23,8,4007,b2539,5,2,3,Incorrect,0.3833333333333333,Class #19
6404279,U14027,2019-08-22,2019-08 W33,2019 W33,8,22,16,1705,b1502,3,2,2,Correct,0.4277666666666667,Class #10
7578616,U262004,2018-12-19,2018-12 W51,2018 W51,12,19,9,928,b928,2,2,3,Incorrect,0.65,Class #12
3721062,U6306,2019-08-21,2019-08 W33,2019 W33,8,21,10,561,b561,2,3,2,Incorrect,0.3,Class #6
5763491,U11282,2019-06-24,2019-06 W25,2019 W25,6,24,9,9082,b6433,5,3,2,Incorrect,0.2,Class #9
1161279,U1420,2018-11-22,2018-11 W47,2018 W47,11,22,8,8131,b5602,1,2,4,Incorrect,0.4333333333333333,Class #2
144011,U241,2019-05-04,2019-05 W17,2019 W17,5,4,5,2220,b1674,3,3,3,Correct,0.4277666666666667,Class #1
4056530,U7168,2019-11-10,2019-11 W44,2019 W44,11,10,20,2743,b1848,4,4,4,Correct,0.3333333333333333,Class #7
11347203,U566188,2019-04-27,2019-04 W16,2019 W16,4,27,8,9882,b7233,5,2,2,Correct,0.5666666666666667,Class #17
7229971,U249286,2018-09-05,2018-09 W36,2018 W36,9,5,6,333,b333,2,3,3,Correct,0.2833333333333333,Class #11
10738264,U507519,2019-02-26,2019-02 W08,2019 W08,2,26,15,5664,b4196,5,3,3,Correct,0.3666666666666665,Class #16
624404,U780,2019-07-27,2019-07 W29,2019 W29,7,27,8,434,b434,2,3,3,Correct,0.7333333333333333,Class #1
7162349,U247503,2018-09-14,2018-09 W37,2018 W37,9,14,5,6937,b5211,6,1,3,Incorrect,0.4666666666666667,Class #11
12164149,U682311,2019-10-16,2019-10 W41,2019 W41,10,16,22,1081,b1081,2,1,1,Correct,0.2666666666666666,Class #18
12994964,U764296,2019-10-31,2019-10 W43,2019 W43,10,31,5,5031,b3563,5,2,4,Incorrect,0.4,Class #20
12508156,U750273,2019-09-24,2019-09 W38,2019 W38,9,24,1,5481,b4013,5,1,1,Correct,0.3,Class #19
5276559,U9857,2019-10-30,2019-10 W43,2019 W43,10,30,13,11765,b8524,6,1,1,Correct,0.1125,Class #8
11994727,U675512,2019-10-17,2019-10 W41,2019 W41,10,17,6,7855,b5467,7,4,4,Correct,0.9133333333333332,Class #18
353422,U429,2019-05-19,2019-05 W19,2019 W19,5,19,8,3547,b2116,4,2,2,Correct,0.44445,Class #1
5397562,U10209,2019-10-30,2019-10 W43,2019 W43,10,30,9,10009,b7360,5,3,3,Correct,0.6,Class #8
8621522,U334766,2018-12-21,2018-12 W51,2018 W51,12,21,14,749,b749,2,1,1,Correct,0.2666666666666666,Class #13
341653,U411,2019-07-25,2019-07 W29,2019 W29,7,25,18,9757,b7108,5,3,3,Correct,0.55,Class #1
1251101,U1501,2019-11-19,2019-11 W46,2019 W46,11,19,0,4482,b3014,5,1,1,Correct,0.3666666666666665,Class #2
8818284,U351540,2019-03-08,2019-03 W09,2019 W09,3,8,14,6523,b5055,5,2,2,Correct,0.4333333333333333,Class #13
907139,U1208,2019-04-08,2019-04 W14,2019 W14,4,8,18,3041,b1947,4,4,4,Correct,0.3888833333333333,Class #2
12578895,U755572,2019-11-17,2019-11 W45,2019 W45,11,17,13,17770,b11833,2,2,2,Correct,0.25,Class #19
4955202,U8941,2019-08-28,2019-08 W34,2019 W34,8,28,4,1438,b1413,3,2,2,Correct,0.4888833333333333,Class #8
1433580,U1700,2019-02-03,2019-02 W04,2019 W04,2,3,14,5401,b3933,5,4,4,Correct,0.25,Class #3
7167439,U247616,2018-09-24,2018-09 W39,2018 W39,9,24,7,3043,b1948,4,1,1,Correct,0.1277666666666666,Class #11
13082121,U785994,2019-11-19,2019-11 W46,2019 W46,11,19,22,5694,b4226,5,3,1,Incorrect,0.5666666666666667,Class #20
2214536,U3140,2019-08-05,2019-08 W31,2019 W31,8,5,6,8692,b6043,5,2,1,Incorrect,0.6166666666666667,Class #4
6029553,U12183,2019-10-23,2019-10 W42,2019 W42,10,23,3,17881,b11944,2,2,2,Correct,0.3833333333333333,Class #9
4385812,U7551,2019-07-28,2019-07 W29,2019 W29,7,28,1,17073,b11310,5,3,3,Correct,0.2333333333333333,Class #7
7577785,U262004,2018-11-09,2018-11 W45,2018 W45,11,9,12,1092,b1092,2,1,1,Correct,0.3,Class #12
9328206,U386799,2019-03-22,2019-03 W11,2019 W11,3,22,13,3290,b2030,4,3,4,Incorrect,0.4166666666666667,Class #14
4211644,U7399,2019-04-13,2019-04 W14,2019 W14,4,13,0,3117,b1973,4,4,4,Correct,0.5111,Class #7
1590302,U1990,2019-06-05,2019-06 W22,2019 W22,6,5,16,4821,b3353,5,4,4,Correct,0.3,Class #3
8954039,U361274,2019-01-09,2019-01 W01,2019 W01,1,9,13,8396,b5747,5,1,4,Incorrect,0.6,Class #14
3858070,U6694,2019-08-28,2019-08 W34,2019 W34,8,28,2,10644,b7922,6,4,1,Incorrect,0.4875,Class #6
2972264,U4489,2019-07-16,2019-07 W28,2019 W28,7,16,3,7521,b5369,7,3,2,Incorrect,1.0366666666666666,Class #5
10255604,U462495,2019-11-04,2019-11 W44,2019 W44,11,4,11,1034,b1034,2,3,3,Correct,0.3,Class #15
10607866,U494863,2019-03-13,2019-03 W10,2019 W10,3,13,5,6151,b4683,5,2,4,Incorrect,1.3833333333333333,Class #16
3942724,U6853,2019-08-28,2019-08 W34,2019 W34,8,28,7,1119,b1119,2,3,3,Correct,0.2,Class #6
10234665,U460890,2019-02-03,2019-02 W04,2019 W04,2,3,15,6513,b5045,5,3,2,Incorrect,0.6333333333333333,Class #15
12138497,U681091,2019-10-31,2019-10 W43,2019 W43,10,31,11,8361,b5712,7,4,4,Correct,2.56,Class #18
8294067,U309243,2018-11-24,2018-11 W47,2018 W47,11,24,15,11234,b8287,1,2,2,Correct,0.4,Class #13
410118,U493,2019-10-09,2019-10 W40,2019 W40,10,9,2,11089,b8142,1,2,2,Correct,0.3333333333333333,Class #1
2341228,U3257,2019-11-19,2019-11 W46,2019 W46,11,19,2,4059,b2591,5,4,1,Incorrect,0.75,Class #4
8694666,U341892,2019-01-02,2019-01 W00,2019 W00,1,2,14,7004,b5228,7,3,3,Correct,0.0722166666666666,Class #13
10324657,U469708,2019-03-18,2019-03 W11,2019 W11,3,18,6,5599,b4131,5,1,1,Correct,0.4,Class #15
5320116,U9899,2019-08-06,2019-08 W31,2019 W31,8,6,17,6820,b5181,6,1,1,Correct,0.5625,Class #8
13198932,U794220,2019-11-02,2019-11 W43,2019 W43,11,2,9,1989,b1597,3,2,2,Correct,0.4944333333333333,Class #20
11930416,U659116,2019-10-20,2019-10 W41,2019 W41,10,20,15,5031,b3563,5,2,4,Incorrect,0.5833333333333334,Class #18
1727986,U2249,2019-10-16,2019-10 W41,2019 W41,10,16,8,1511,b1437,3,3,3,Correct,0.10555,Class #3
3022177,U4607,2019-04-24,2019-04 W16,2019 W16,4,24,10,5323,b3855,5,2,2,Correct,0.4,Class #5
12604190,U756891,2019-10-29,2019-10 W43,2019 W43,10,29,15,11561,b8473,6,1,3,Incorrect,0.3291666666666666,Class #19
3014425,U4581,2019-08-10,2019-08 W31,2019 W31,8,10,3,557,b557,2,1,1,Correct,0.3666666666666665,Class #5
11756593,U622705,2019-06-27,2019-06 W25,2019 W25,6,27,5,3109,b1970,4,2,2,Correct,0.0611,Class #18
110502,U224,2019-06-21,2019-06 W24,2019 W24,6,21,4,1456,b1419,3,4,4,Correct,0.4444333333333333,Class #1
9997741,U432163,2019-01-28,2019-01 W04,2019 W04,1,28,12,7309,b5316,7,4,4,Correct,1.5266666666666666,Class #15
8803574,U350445,2018-12-29,2018-12 W52,2018 W52,12,29,13,10653,b7924,6,1,1,Correct,0.475,Class #13
4353537,U7531,2019-03-26,2019-03 W12,2019 W12,3,26,11,7174,b5279,7,4,4,Correct,0.4777666666666667,Class #7
9813374,U417884,2019-01-26,2019-01 W03,2019 W03,1,26,9,10096,b7447,5,1,1,Correct,0.3833333333333333,Class #15
7831963,U276004,2019-02-26,2019-02 W08,2019 W08,2,26,13,1967,b1589,3,3,3,Correct,0.4888833333333333,Class #12
2124972,U2972,2019-08-15,2019-08 W32,2019 W32,8,15,7,10854,b7977,6,4,4,Correct,0.3916666666666666,Class #4
9846507,U419464,2019-10-23,2019-10 W42,2019 W42,10,23,14,10836,b7973,6,2,3,Incorrect,0.525,Class #15
4834117,U8610,2019-08-07,2019-08 W31,2019 W31,8,7,10,5646,b4178,5,3,3,Correct,0.55,Class #8
11263564,U557128,2019-04-21,2019-04 W15,2019 W15,4,21,6,1829,b1543,3,4,4,Correct,0.50555,Class #17
301959,U371,2019-08-28,2019-08 W34,2019 W34,8,28,0,3176,b1992,4,1,2,Incorrect,0.5722166666666667,Class #1
10913263,U522842,2019-03-09,2019-03 W09,2019 W09,3,9,6,6812,b5179,6,2,2,Correct,0.1166666666666666,Class #16
5019128,U9099,2019-09-10,2019-09 W36,2019 W36,9,10,6,4663,b3195,5,2,1,Incorrect,0.1333333333333333,Class #8
10331050,U469888,2019-05-24,2019-05 W20,2019 W20,5,24,14,1732,b1511,3,2,2,Correct,0.4666666666666667,Class #15
4023518,U7020,2019-09-10,2019-09 W36,2019 W36,9,10,13,8216,b5683,7,3,2,Incorrect,0.8033333333333333,Class #7
2729491,U3998,2019-09-03,2019-09 W35,2019 W35,9,3,15,6560,b5086,6,3,3,Correct,0.3166666666666666,Class #4
8533269,U328825,2019-01-03,2019-01 W00,2019 W00,1,3,7,4476,b3008,5,2,3,Incorrect,0.2333333333333333,Class #13
13097531,U789290,2019-11-14,2019-11 W45,2019 W45,11,14,19,5662,b4194,5,4,2,Incorrect,0.7166666666666667,Class #20
7472597,U257815,2019-03-18,2019-03 W11,2019 W11,3,18,14,323,b323,2,1,1,Correct,0.3,Class #11
333993,U408,2019-07-17,2019-07 W28,2019 W28,7,17,5,5273,b3805,5,1,1,Correct,0.5833333333333334,Class #1
13167834,U792563,2019-11-11,2019-11 W45,2019 W45,11,11,20,9564,b6915,5,3,3,Correct,0.2333333333333333,Class #20
4179770,U7370,2019-10-19,2019-10 W41,2019 W41,10,19,9,9789,b7140,5,3,3,Correct,1.6166666666666667,Class #7
6130022,U12562,2019-08-24,2019-08 W33,2019 W33,8,24,4,4004,b2536,5,3,3,Correct,0.1666666666666666,Class #9
3438532,U5581,2019-08-21,2019-08 W33,2019 W33,8,21,12,2188,b1663,3,4,3,Incorrect,0.45,Class #6
7038024,U18823,2019-07-11,2019-07 W27,2019 W27,7,11,16,7218,b5289,7,3,1,Incorrect,1.0666666666666669,Class #11
9863861,U420565,2019-05-05,2019-05 W17,2019 W17,5,5,1,6363,b4895,5,3,4,Incorrect,0.0333333333333333,Class #15
5670131,U10985,2019-09-20,2019-09 W37,2019 W37,9,20,18,9603,b6954,5,4,4,Correct,0.35,Class #9
1981247,U2746,2019-08-03,2019-08 W30,2019 W30,8,3,18,573,b573,2,3,3,Correct,0.2666666666666666,Class #3
12955147,U762482,2019-10-24,2019-10 W42,2019 W42,10,24,5,2688,b1830,4,4,4,Correct,0.5,Class #20
5596055,U10794,2019-09-06,2019-09 W35,2019 W35,9,6,14,6942,b5212,6,3,4,Incorrect,0.2708333333333333,Class #9
3137541,U4930,2019-11-23,2019-11 W46,2019 W46,11,23,2,2194,b1665,3,1,3,Incorrect,0.4222166666666667,Class #5
11869051,U642517,2019-08-02,2019-08 W30,2019 W30,8,2,11,8893,b6244,5,1,1,Correct,0.3833333333333333,Class #18
9193091,U379050,2019-03-16,2019-03 W10,2019 W10,3,16,6,6726,b5132,5,2,2,Correct,0.2166666666666666,Class #14
3080125,U4712,2019-06-24,2019-06 W25,2019 W25,6,24,20,3914,b2446,5,3,1,Incorrect,0.5166666666666667,Class #5
7457417,U257736,2019-01-30,2019-01 W04,2019 W04,1,30,1,7381,b5333,7,2,2,Correct,2.11,Class #11
6939319,U18111,2019-11-17,2019-11 W45,2019 W45,11,17,3,17849,b11912,2,1,1,Correct,0.3166666666666666,Class #11
1420939,U1685,2019-07-17,2019-07 W28,2019 W28,7,17,3,3453,b2085,4,2,2,Correct,0.29445,Class #3
449991,U544,2019-07-05,2019-07 W26,2019 W26,7,5,11,11215,b8268,1,1,1,Correct,0.45,Class #1
12423345,U746794,2019-10-24,2019-10 W42,2019 W42,10,24,9,6809,b5179,6,1,1,Correct,0.7125,Class #19
12199347,U683859,2019-09-18,2019-09 W37,2019 W37,9,18,8,2354,b1718,3,2,2,Correct,0.4,Class #18
192505,U292,2019-08-02,2019-08 W30,2019 W30,8,2,3,5245,b3777,5,2,1,Incorrect,0.2833333333333333,Class #1
911154,U1218,2019-02-13,2019-02 W06,2019 W06,2,13,15,10855,b7977,6,3,2,Incorrect,0.45,Class #2
9288467,U383606,2019-01-21,2019-01 W03,2019 W03,1,21,6,8457,b5808,5,4,4,Correct,0.0666666666666666,Class #14
5179648,U9652,2019-08-20,2019-08 W33,2019 W33,8,20,10,4326,b2858,5,4,3,Incorrect,0.35,Class #8
9173032,U377101,2019-03-28,2019-03 W12,2019 W12,3,28,2,1143,b1143,2,3,3,Correct,0.2666666666666666,Class #14
11669484,U609344,2019-07-02,2019-07 W26,2019 W26,7,2,6,1564,b1455,3,2,2,Correct,0.4611166666666667,Class #18
11783901,U626763,2019-07-07,2019-07 W26,2019 W26,7,7,11,8960,b6311,5,1,1,Correct,0.1833333333333332,Class #18
13338305,U806514,2019-11-22,2019-11 W46,2019 W46,11,22,2,17294,b11531,5,1,4,Incorrect,0.05,Class #20
10157215,U450518,2019-09-27,2019-09 W38,2019 W38,9,27,5,3802,b2334,5,4,4,Correct,0.15,Class #15
8934644,U360111,2019-02-16,2019-02 W06,2019 W06,2,16,14,8167,b5638,1,3,3,Correct,0.4166666666666667,Class #14
10015490,U436199,2019-05-23,2019-05 W20,2019 W20,5,23,2,10792,b7962,6,3,2,Incorrect,0.7708333333333334,Class #15
5854547,U11560,2019-08-18,2019-08 W32,2019 W32,8,18,15,2029,b1610,3,4,3,Incorrect,0.5777666666666667,Class #9
3786031,U6521,2019-11-26,2019-11 W47,2019 W47,11,26,8,2700,b1834,4,3,2,Incorrect,0.3888833333333333,Class #6
1280529,U1551,2019-11-03,2019-11 W43,2019 W43,11,3,0,6648,b5108,6,4,4,Correct,0.8458333333333333,Class #2
4686412,U8177,2019-11-08,2019-11 W44,2019 W44,11,8,5,1537,b1446,3,4,4,Correct,0.4777666666666667,Class #7
10576118,U493474,2019-02-19,2019-02 W07,2019 W07,2,19,3,11226,b8279,1,1,1,Correct,0.3166666666666666,Class #16
